ID:新冠肺炎|我采访了刚到中国支援的德国顶尖病毒研究家
{'danmu_send_time': '2021-01-14 21:14:21', 'text': '新年快乐虽然是不完美的一年'}
{'danmu_send_time': '2020-05-30 20:31:20', 'text': '感谢'}
{'danmu_send_time': '2020-05-30 20:31:15', 'text': '感谢'}
{'danmu_send_time': '2020-05-30 20:31:09', 'text': '感谢'}
{'danmu_send_time': '2020-05-30 20:31:03', 'text': '感谢'}
{'danmu_send_time': '2020-05-30 11:42:43', 'text': '祝康'}
{'danmu_send_time': '2020-05-27 22:43:02', 'text': '感谢感谢'}
{'danmu_send_time': '2020-05-27 22:42:24', 'text': '感谢您'}
{'danmu_send_time': '2020-05-27 22:38:42', 'text': '感谢你们'}
{'danmu_send_time': '2020-05-27 22:38:25', 'text': '好些您'}
{'danmu_send_time': '2020-05-21 12:56:50', 'text': '加油'}
{'danmu_send_time': '2020-05-18 23:17:17', 'text': '感谢'}
{'danmu_send_time': '2020-05-17 00:45:20', 'text': '爱了'}
{'danmu_send_time': '2020-05-13 20:58:56', 'text': '感谢'}
{'danmu_send_time': '2020-05-09 15:21:01', 'text': '麦当娜体内就有抗体了。。'}
{'danmu_send_time': '2020-05-09 14:36:00', 'text': '谢谢！！！'}
{'danmu_send_time': '2020-05-07 17:19:03', 'text': 'Viel danke'}
{'danmu_send_time': '2020-04-30 19:19:46', 'text': '感谢'}
{'danmu_send_time': '2020-04-30 18:37:43', 'text': '谢谢'}
{'danmu_send_time': '2020-04-30 17:16:58', 'text': '感谢'}
{'danmu_send_time': '2020-04-29 20:50:33', 'text': '古代就有鸟嘴医生这些逆行者……逆行者永远值得尊敬。，，'}
{'danmu_send_time': '2020-04-29 20:48:53', 'text': '它当然会早晚消失，问题是……在那之前，会有很多人因为它不幸去世的。。。'}
{'danmu_send_time': '2020-04-28 14:48:40', 'text': '感谢'}
{'danmu_send_time': '2020-04-25 23:14:07', 'text': '感谢'}
{'danmu_send_time': '2020-04-21 18:42:07', 'text': 'Thank you'}
{'danmu_send_time': '2020-04-21 16:36:58', 'text': '感谢'}
{'danmu_send_time': '2020-04-19 21:34:48', 'text': '感谢'}
{'danmu_send_time': '2020-04-17 12:55:16', 'text': '谢谢'}
{'danmu_send_time': '2020-04-15 21:36:53', 'text': '美国军人'}
{'danmu_send_time': '2020-04-12 08:30:21', 'text': '谢谢您'}
{'danmu_send_time': '2020-04-11 17:55:15', 'text': '哭了？'}
{'danmu_send_time': '2020-04-11 09:13:59', 'text': '感谢'}
{'danmu_send_time': '2020-04-09 09:56:46', 'text': '感谢！'}
{'danmu_send_time': '2020-04-06 20:08:53', 'text': 'q看到老婆一直抹泪真的好心酸'}
{'danmu_send_time': '2020-04-05 23:06:06', 'text': '谢谢。'}
{'danmu_send_time': '2020-04-05 00:22:23', 'text': '感谢'}
{'danmu_send_time': '2020-04-04 19:28:09', 'text': '谢谢'}
{'danmu_send_time': '2020-04-04 19:27:20', 'text': '谢谢教授'}
{'danmu_send_time': '2020-04-04 19:26:03', 'text': '感谢'}
{'danmu_send_time': '2020-04-04 19:24:22', 'text': '谢谢您'}
{'danmu_send_time': '2020-04-04 19:21:56', 'text': '谢谢！！！'}
{'danmu_send_time': '2020-04-04 13:14:21', 'text': '啊福'}
{'danmu_send_time': '2020-04-03 17:55:54', 'text': '感谢'}
{'danmu_send_time': '2020-04-03 07:44:46', 'text': '群体免疫'}
{'danmu_send_time': '2020-04-03 01:57:11', 'text': '谢谢'}
{'danmu_send_time': '2020-04-01 09:35:59', 'text': '先生...现在全世界都蔓延了...'}
{'danmu_send_time': '2020-04-01 00:22:31', 'text': '不是气温 和这次一样是因为隔离消失的'}
{'danmu_send_time': '2020-03-31 15:13:50', 'text': '群体免疫'}
{'danmu_send_time': '2020-03-31 10:07:15', 'text': '感谢'}
{'danmu_send_time': '2020-03-30 13:35:18', 'text': '感谢'}
{'danmu_send_time': '2020-03-30 13:35:08', 'text': '谢谢感谢'}
{'danmu_send_time': '2020-03-30 13:34:16', 'text': '谢谢'}
{'danmu_send_time': '2020-03-28 11:38:35', 'text': '感谢'}
{'danmu_send_time': '2020-03-27 18:17:34', 'text': '写谢谢谢谢谢谢谢谢谢谢谢谢谢谢'}
{'danmu_send_time': '2020-03-27 18:17:17', 'text': '感谢'}
{'danmu_send_time': '2020-03-27 14:50:59', 'text': '好人真的活该一生平安'}
{'danmu_send_time': '2020-03-27 09:26:20', 'text': 'danke schon！'}
{'danmu_send_time': '2020-03-25 19:13:02', 'text': '谢谢'}
{'danmu_send_time': '2020-03-25 13:25:46', 'text': 'Vielen Dank '}
{'danmu_send_time': '2020-03-25 12:12:43', 'text': '加油'}
{'danmu_send_time': '2020-03-25 12:05:54', 'text': '感谢'}
{'danmu_send_time': '2020-03-25 10:17:55', 'text': '非常感谢您'}
{'danmu_send_time': '2020-03-24 15:19:43', 'text': '感谢'}
{'danmu_send_time': '2020-03-24 13:48:33', 'text': '谢谢老大爷'}
{'danmu_send_time': '2020-03-24 06:39:49', 'text': '谢谢您(*°∀°)=3'}
{'danmu_send_time': '2020-03-24 01:13:08', 'text': '好人 长命百岁爷爷❤️'}
{'danmu_send_time': '2020-03-24 00:41:48', 'text': 'Danke'}
{'danmu_send_time': '2020-03-23 18:37:54', 'text': '感谢'}
{'danmu_send_time': '2020-03-23 17:45:39', 'text': '感谢'}
{'danmu_send_time': '2020-03-22 22:57:24', 'text': '感谢'}
{'danmu_send_time': '2020-03-22 21:04:45', 'text': '谢谢！'}
{'danmu_send_time': '2020-03-22 20:47:11', 'text': '谢谢'}
{'danmu_send_time': '2020-03-22 20:32:09', 'text': '致敬'}
{'danmu_send_time': '2020-03-22 11:15:13', 'text': '感谢'}
{'danmu_send_time': '2020-03-22 09:49:38', 'text': '感谢'}
{'danmu_send_time': '2020-03-21 22:10:55', 'text': '感谢'}
{'danmu_send_time': '2020-03-21 20:32:56', 'text': '感谢'}
{'danmu_send_time': '2020-03-21 17:53:56', 'text': '感谢'}
{'danmu_send_time': '2020-03-21 16:40:51', 'text': 'アメリカ合衆国virus！！！'}
{'danmu_send_time': '2020-03-21 01:31:30', 'text': '牛B！'}
{'danmu_send_time': '2020-03-20 20:39:54', 'text': '吃蝙蝠是东南亚人，冠状病毒源头是美国'}
{'danmu_send_time': '2020-03-20 16:33:14', 'text': '感谢'}
{'danmu_send_time': '2020-03-20 16:33:01', 'text': '感谢'}
{'danmu_send_time': '2020-03-20 14:49:22', 'text': '中国人民的老朋友'}
{'danmu_send_time': '2020-03-20 11:02:48', 'text': '谢谢感谢'}
{'danmu_send_time': '2020-03-20 07:58:45', 'text': 'Dankeschön!!!!'}
{'danmu_send_time': '2020-03-20 07:58:45', 'text': 'Dankeschön!!!!!!!!'}
{'danmu_send_time': '2020-03-20 07:12:01', 'text': '也祝您新年快乐教授，身体健康'}
{'danmu_send_time': '2020-03-20 07:06:06', 'text': '中德友谊长存'}
{'danmu_send_time': '2020-03-20 07:03:07', 'text': '感谢'}
{'danmu_send_time': '2020-03-20 00:23:51', 'text': '感谢！！！'}
{'danmu_send_time': '2020-03-19 22:22:58', 'text': '感谢'}
{'danmu_send_time': '2020-03-19 17:04:09', 'text': '感谢'}
{'danmu_send_time': '2020-03-19 16:55:32', 'text': '感谢'}
{'danmu_send_time': '2020-03-19 11:10:18', 'text': '感谢'}
{'danmu_send_time': '2020-03-18 23:05:08', 'text': '谢谢！'}
{'danmu_send_time': '2020-03-18 23:04:34', 'text': '感谢！谢谢'}
{'danmu_send_time': '2020-03-18 17:00:47', 'text': '感谢'}
{'danmu_send_time': '2020-03-18 15:05:22', 'text': 'danke'}
{'danmu_send_time': '2020-03-18 13:35:42', 'text': '谢谢'}
{'danmu_send_time': '2020-03-18 10:40:09', 'text': '夫妻相'}
{'danmu_send_time': '2020-03-18 00:37:00', 'text': '感谢'}
{'danmu_send_time': '2020-03-17 21:38:01', 'text': '学习德语的好机会'}
{'danmu_send_time': '2020-03-17 17:47:13', 'text': '朱莉不哭，我们会好起来的'}
{'danmu_send_time': '2020-03-17 15:16:32', 'text': '福太怎么哭了？'}
{'danmu_send_time': '2020-03-17 14:49:36', 'text': '35也太可怕了吧'}
{'danmu_send_time': '2020-03-17 14:47:04', 'text': '老师好'}
{'danmu_send_time': '2020-03-17 12:19:23', 'text': '蝙蝠没错，错的是某些人类'}
{'danmu_send_time': '2020-03-17 11:36:14', 'text': '感谢'}
{'danmu_send_time': '2020-03-16 22:31:26', 'text': '兄弟们，把感谢打在公屏上'}
{'danmu_send_time': '2020-03-16 22:24:51', 'text': "感谢您٩( 'ω' )و "}
{'danmu_send_time': '2020-03-16 21:54:06', 'text': '感谢'}
{'danmu_send_time': '2020-03-16 18:19:52', 'text': '啊福，标题要改了'}
{'danmu_send_time': '2020-03-16 17:27:34', 'text': '感谢'}
{'danmu_send_time': '2020-03-16 16:21:02', 'text': '谢谢'}
{'danmu_send_time': '2020-03-16 14:55:12', 'text': '感谢'}
{'danmu_send_time': '2020-03-16 13:41:58', 'text': '感谢'}
{'danmu_send_time': '2020-03-16 07:51:52', 'text': '感谢来自德国的老爷爷'}
{'danmu_send_time': '2020-03-16 02:58:39', 'text': '谢谢'}
{'danmu_send_time': '2020-03-16 02:22:37', 'text': '谢谢'}
{'danmu_send_time': '2020-03-16 01:52:09', 'text': '啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊疯狂打CALL'}
{'danmu_send_time': '2020-03-16 01:44:21', 'text': '谢谢'}
{'danmu_send_time': '2020-03-16 00:10:13', 'text': '感谢'}
{'danmu_send_time': '2020-03-15 23:33:09', 'text': '感谢'}
{'danmu_send_time': '2020-03-15 22:34:55', 'text': '谢谢'}
{'danmu_send_time': '2020-03-15 20:02:39', 'text': '感谢老爷子'}
{'danmu_send_time': '2020-03-15 15:14:43', 'text': '感谢'}
{'danmu_send_time': '2020-03-15 15:08:14', 'text': '谢谢'}
{'danmu_send_time': '2020-03-15 14:38:49', 'text': 'Danke schon'}
{'danmu_send_time': '2020-03-15 14:35:54', 'text': 'Danke fur dich'}
{'danmu_send_time': '2020-03-15 14:35:29', 'text': '感谢'}
{'danmu_send_time': '2020-03-15 11:13:12', 'text': '非典到现在都没疫苗'}
{'danmu_send_time': '2020-03-11 22:40:07', 'text': 'Danke Schule'}
{'danmu_send_time': '2020-03-11 22:02:58', 'text': '感谢'}
{'danmu_send_time': '2020-03-11 10:10:30', 'text': '谢谢'}
{'danmu_send_time': '2020-03-10 19:34:58', 'text': '你们自己注意身体，给家人提醒德国可能是欧洲最强的堡垒'}
{'danmu_send_time': '2020-03-10 19:33:41', 'text': '不要阿'}
{'danmu_send_time': '2020-03-10 19:28:29', 'text': '谢谢'}
{'danmu_send_time': '2020-03-10 19:09:20', 'text': 'danke'}
{'danmu_send_time': '2020-03-10 17:20:51', 'text': '感谢'}
{'danmu_send_time': '2020-03-10 08:28:00', 'text': '谢谢！'}
{'danmu_send_time': '2020-03-10 00:39:52', 'text': '牛逼啊'}
{'danmu_send_time': '2020-03-09 19:44:01', 'text': '感谢'}
{'danmu_send_time': '2020-03-09 02:41:46', 'text': '感谢'}
{'danmu_send_time': '2020-03-09 00:06:42', 'text': '真心谢谢了'}
{'danmu_send_time': '2020-03-08 21:56:47', 'text': '感谢'}
{'danmu_send_time': '2020-03-08 16:40:29', 'text': '标题可以改了哈。'}
{'danmu_send_time': '2020-03-08 15:35:40', 'text': '一个外国友人，非常感谢，舍己为人，白求恩的精神'}
{'danmu_send_time': '2020-03-08 14:23:56', 'text': '感谢'}
{'danmu_send_time': '2020-03-08 13:36:42', 'text': '∮感谢'}
{'danmu_send_time': '2020-03-08 12:25:17', 'text': '感谢'}
{'danmu_send_time': '2020-03-07 23:18:01', 'text': '泪目'}
{'danmu_send_time': '2020-03-07 17:15:29', 'text': '感谢'}
{'danmu_send_time': '2020-03-07 02:16:29', 'text': '谢谢'}
{'danmu_send_time': '2020-03-06 23:34:59', 'text': '谢谢'}
{'danmu_send_time': '2020-03-06 20:27:39', 'text': 'danke'}
{'danmu_send_time': '2020-03-06 17:56:59', 'text': '感谢'}
{'danmu_send_time': '2020-03-06 17:56:44', 'text': '感谢'}
{'danmu_send_time': '2020-03-06 16:42:54', 'text': '感谢'}
{'danmu_send_time': '2020-03-06 10:35:01', 'text': '感谢'}
{'danmu_send_time': '2020-03-05 19:56:36', 'text': '阿福他们还好，报道基本都是以事实为基础，不是那些赚完内网的钱，外网就造谣抹黑中国，例如拿黑人牙膏那位'}
{'danmu_send_time': '2020-03-05 14:58:53', 'text': '感谢'}
{'danmu_send_time': '2020-03-05 13:13:41', 'text': '阿福牛逼，记得和福太一起减肥，希望你们能白头偕老'}
{'danmu_send_time': '2020-03-05 12:46:07', 'text': '福太好感性'}
{'danmu_send_time': '2020-03-05 12:44:16', 'text': '不是直接吃蝙蝠...吃其他中间宿主一样的...'}
{'danmu_send_time': '2020-03-05 12:42:18', 'text': '致死率太强的病毒反而传不开的'}
{'danmu_send_time': '2020-03-05 12:41:29', 'text': '是死亡率'}
{'danmu_send_time': '2020-03-04 20:29:47', 'text': '逆行者，感恩有你'}
{'danmu_send_time': '2020-03-04 18:39:22', 'text': '麝猫'}
{'danmu_send_time': '2020-03-03 17:21:27', 'text': '感谢'}
{'danmu_send_time': '2020-03-03 16:28:52', 'text': 'Danke！！！！'}
{'danmu_send_time': '2020-03-03 16:25:49', 'text': '感谢感谢感谢'}
{'danmu_send_time': '2020-03-03 16:25:18', 'text': '靠人类自身产生抗体进行消除，谢谢'}
{'danmu_send_time': '2020-03-03 16:01:23', 'text': '感谢！'}
{'danmu_send_time': '2020-03-03 01:56:21', 'text': 'sars是后来自己消失的'}
{'danmu_send_time': '2020-03-02 23:51:50', 'text': '感谢'}
{'danmu_send_time': '2020-03-02 20:51:49', 'text': '锻炼身体'}
{'danmu_send_time': '2020-03-02 20:50:45', 'text': '祝你安全回国'}
{'danmu_send_time': '2020-03-02 20:47:53', 'text': '谢谢'}
{'danmu_send_time': '2020-03-02 20:40:52', 'text': '不是气温，新加坡 ，泰国都有了'}
{'danmu_send_time': '2020-03-02 16:15:16', 'text': '感谢'}
{'danmu_send_time': '2020-03-02 01:53:05', 'text': '感谢'}
{'danmu_send_time': '2020-03-01 17:18:59', 'text': '感谢'}
{'danmu_send_time': '2020-03-01 17:18:42', 'text': '感谢'}
{'danmu_send_time': '2020-03-01 11:45:00', 'text': '到我河北来'}
{'danmu_send_time': '2020-02-29 23:35:52', 'text': '感谢'}
{'danmu_send_time': '2020-02-29 21:54:11', 'text': '谢谢！'}
{'danmu_send_time': '2020-02-29 18:29:32', 'text': '感谢'}
{'danmu_send_time': '2020-02-29 17:24:20', 'text': '感谢'}
{'danmu_send_time': '2020-02-29 16:15:10', 'text': '谢谢啦'}
{'danmu_send_time': '2020-02-29 13:44:11', 'text': '要这么久？'}
{'danmu_send_time': '2020-02-28 20:48:38', 'text': '标题是不是不太好'}
{'danmu_send_time': '2020-02-28 15:43:36', 'text': '感谢'}
{'danmu_send_time': '2020-02-28 13:11:17', 'text': '标题有问题'}
{'danmu_send_time': '2020-02-28 10:18:49', 'text': '感谢'}
{'danmu_send_time': '2020-02-28 08:51:09', 'text': '老当益壮！！！！'}
{'danmu_send_time': '2020-02-28 03:37:40', 'text': '谢谢'}
{'danmu_send_time': '2020-02-28 00:37:37', 'text': '感谢'}
{'danmu_send_time': '2020-02-27 23:23:29', 'text': '阿福和老婆好有夫妻相啊 哈哈哈'}
{'danmu_send_time': '2020-02-27 23:14:18', 'text': '感谢'}
{'danmu_send_time': '2020-02-27 19:27:36', 'text': '这1女的脸怎么了'}
{'danmu_send_time': '2020-02-27 17:40:16', 'text': '谢谢你谢谢你，太感谢了'}
{'danmu_send_time': '2020-02-27 17:25:03', 'text': '感谢'}
{'danmu_send_time': '2020-02-27 17:02:51', 'text': '感谢'}
{'danmu_send_time': '2020-02-26 02:27:02', 'text': 'Danke'}
{'danmu_send_time': '2020-02-25 23:03:13', 'text': '谢谢'}
{'danmu_send_time': '2020-02-25 23:03:02', 'text': '谢谢'}
{'danmu_send_time': '2020-02-25 20:14:16', 'text': 'Tschüss '}
{'danmu_send_time': '2020-02-25 20:09:30', 'text': 'Danke Schule '}
{'danmu_send_time': '2020-02-25 17:32:56', 'text': '谢谢'}
{'danmu_send_time': '2020-02-25 16:02:17', 'text': '谢谢！'}
{'danmu_send_time': '2020-02-25 13:23:40', 'text': 'dank'}
{'danmu_send_time': '2020-02-24 21:11:14', 'text': '感谢教授'}
{'danmu_send_time': '2020-02-24 18:22:04', 'text': '感谢'}
{'danmu_send_time': '2020-02-24 18:03:17', 'text': '德意志的医学技术世界第一，加油'}
{'danmu_send_time': '2020-02-24 18:02:50', 'text': '德意志的医学技术世界第一，加油'}
{'danmu_send_time': '2020-02-23 20:55:15', 'text': '谢谢老师'}
{'danmu_send_time': '2020-02-23 20:54:43', 'text': '感谢'}
{'danmu_send_time': '2020-02-23 20:54:18', 'text': '谢谢'}
{'danmu_send_time': '2020-02-23 02:11:48', 'text': '很可爱的学者'}
{'danmu_send_time': '2020-02-23 02:11:22', 'text': '感谢'}
{'danmu_send_time': '2020-02-23 02:10:05', 'text': '老师好'}
{'danmu_send_time': '2020-02-23 02:08:54', 'text': '谢谢'}
{'danmu_send_time': '2020-02-22 22:22:25', 'text': '非常感谢'}
{'danmu_send_time': '2020-02-22 21:17:45', 'text': '感谢'}
{'danmu_send_time': '2020-02-22 21:17:30', 'text': '感谢'}
{'danmu_send_time': '2020-02-22 12:57:52', 'text': '向德国人致敬！'}
{'danmu_send_time': '2020-02-22 12:11:58', 'text': 'THANK YOU!'}
{'danmu_send_time': '2020-02-22 02:58:02', 'text': '谢谢'}
{'danmu_send_time': '2020-02-22 02:56:46', 'text': '感谢'}
{'danmu_send_time': '2020-02-21 21:30:26', 'text': '感谢！'}
{'danmu_send_time': '2020-02-21 20:26:29', 'text': '三连感谢'}
{'danmu_send_time': '2020-02-21 16:54:05', 'text': '感谢，感恩'}
{'danmu_send_time': '2020-02-21 13:28:00', 'text': '感谢'}
{'danmu_send_time': '2020-02-21 02:53:51', 'text': '杜绝吃野味'}
{'danmu_send_time': '2020-02-21 02:39:37', 'text': '谢谢！'}
{'danmu_send_time': '2020-02-21 02:03:09', 'text': '感谢'}
{'danmu_send_time': '2020-02-21 02:03:02', 'text': '感谢'}
{'danmu_send_time': '2020-02-20 23:00:04', 'text': '少吃野味'}
{'danmu_send_time': '2020-02-20 21:40:22', 'text': '再次感谢！'}
{'danmu_send_time': '2020-02-20 19:09:46', 'text': '一身正气！'}
{'danmu_send_time': '2020-02-20 19:05:48', 'text': '感谢'}
{'danmu_send_time': '2020-02-20 14:22:15', 'text': 'Danke'}
{'danmu_send_time': '2020-02-20 14:22:04', 'text': 'Danke'}
{'danmu_send_time': '2020-02-20 02:18:32', 'text': 'Vielen Dank'}
{'danmu_send_time': '2020-02-19 22:05:48', 'text': '你的付出，我们记住了'}
{'danmu_send_time': '2020-02-19 22:05:15', 'text': '德语6级听力'}
{'danmu_send_time': '2020-02-19 22:04:03', 'text': '中德友谊万岁'}
{'danmu_send_time': '2020-02-19 20:38:43', 'text': '我从来没吃过野味'}
{'danmu_send_time': '2020-02-19 20:36:22', 'text': '非常感谢德国友人的帮助  谢谢'}
{'danmu_send_time': '2020-02-19 20:06:54', 'text': '感谢'}
{'danmu_send_time': '2020-02-19 19:49:28', 'text': '感谢感谢感谢感谢感谢感谢感谢感谢感谢感谢感谢感谢感谢感谢感谢感谢感谢感谢感谢感谢感谢感谢感谢感谢'}
{'danmu_send_time': '2020-02-19 19:49:14', 'text': '感谢'}
{'danmu_send_time': '2020-02-19 19:49:07', 'text': '感谢'}
{'danmu_send_time': '2020-02-19 18:50:02', 'text': '感谢'}
{'danmu_send_time': '2020-02-19 18:42:21', 'text': '非常感谢！'}
{'danmu_send_time': '2020-02-19 17:58:31', 'text': 'hello,professor'}
{'danmu_send_time': '2020-02-19 11:32:35', 'text': '德语真好听'}
{'danmu_send_time': '2020-02-19 11:31:38', 'text': 'Vielen Dank '}
{'danmu_send_time': '2020-02-19 00:55:28', 'text': '谢谢爷爷'}
{'danmu_send_time': '2020-02-18 22:46:14', 'text': '有朋自远方来··'}
{'danmu_send_time': '2020-02-18 22:10:53', 'text': '夫妻俩一脸好人像。'}
{'danmu_send_time': '2020-02-18 18:50:55', 'text': '福嫂流泪了 看到国际友人对中国这样帮助真的很感动'}
{'danmu_send_time': '2020-02-18 14:41:58', 'text': '前面说用英语交流的你要笑死我吗，他所说的是德语啊，你听过英语有小舌音吗'}
{'danmu_send_time': '2020-02-18 14:39:03', 'text': 'Danke'}
{'danmu_send_time': '2020-02-18 13:52:41', 'text': '谢谢！'}
{'danmu_send_time': '2020-02-18 12:22:57', 'text': '谢谢'}
{'danmu_send_time': '2020-02-18 12:22:52', 'text': '谢谢'}
{'danmu_send_time': '2020-02-18 12:22:46', 'text': '谢谢'}
{'danmu_send_time': '2020-02-18 11:53:04', 'text': '非常感谢！！！'}
{'danmu_send_time': '2020-02-18 11:52:18', 'text': '感谢！'}
{'danmu_send_time': '2020-02-18 11:51:54', 'text': '感谢'}
{'danmu_send_time': '2020-02-18 08:43:55', 'text': '德国人的严谨作风'}
{'danmu_send_time': '2020-02-18 06:39:53', 'text': '感谢'}
{'danmu_send_time': '2020-02-18 02:38:53', 'text': '谢谢～～～～'}
{'danmu_send_time': '2020-02-17 21:37:26', 'text': '杀光蝙蝠的有毒，你以为自己是世界中心吗？蝙蝠招你惹你了'}
{'danmu_send_time': '2020-02-17 21:35:36', 'text': '当然要怪吃了，不接触野味病毒就没有机会接触人类，就不会产生变异最终人传人'}
{'danmu_send_time': '2020-02-17 20:20:41', 'text': '感谢感谢'}
{'danmu_send_time': '2020-02-17 18:22:42', 'text': '感谢'}
{'danmu_send_time': '2020-02-17 15:33:28', 'text': '感谢'}
{'danmu_send_time': '2020-02-17 14:58:25', 'text': '阿福的脸怎么那么红'}
{'danmu_send_time': '2020-02-17 13:58:22', 'text': '感谢'}
{'danmu_send_time': '2020-02-17 13:57:00', 'text': '感谢'}
{'danmu_send_time': '2020-02-17 11:49:00', 'text': '国际友人'}
{'danmu_send_time': '2020-02-17 09:35:28', 'text': '感到'}
{'danmu_send_time': '2020-02-16 23:45:04', 'text': '中东呼吸综合征太猛了'}
{'danmu_send_time': '2020-02-16 23:31:00', 'text': '谢谢'}
{'danmu_send_time': '2020-02-16 21:13:41', 'text': '埃博拉病毒才可怕'}
{'danmu_send_time': '2020-02-16 21:13:24', 'text': '现在不是死的人超过了'}
{'danmu_send_time': '2020-02-16 19:51:08', 'text': '感谢'}
{'danmu_send_time': '2020-02-16 16:09:50', 'text': '小姐姐不哭'}
{'danmu_send_time': '2020-02-16 16:08:12', 'text': '都是人类的守护者啊'}
{'danmu_send_time': '2020-02-16 15:40:21', 'text': '谢谢'}
{'danmu_send_time': '2020-02-16 10:15:07', 'text': '阿福好样的！永远支持你！'}
{'danmu_send_time': '2020-02-16 00:47:10', 'text': '感谢'}
{'danmu_send_time': '2020-02-16 00:21:23', 'text': '感谢'}
{'danmu_send_time': '2020-02-15 22:24:37', 'text': '感谢'}
{'danmu_send_time': '2020-02-15 20:28:07', 'text': '感谢'}
{'danmu_send_time': '2020-02-15 20:14:32', 'text': '鸡蛋果子为武汉加油'}
{'danmu_send_time': '2020-02-15 20:08:01', 'text': 'Dear doctor,thank you very much'}
{'danmu_send_time': '2020-02-15 19:45:23', 'text': '感谢！'}
{'danmu_send_time': '2020-02-15 19:05:44', 'text': '朱莉别哭'}
{'danmu_send_time': '2020-02-15 19:04:39', 'text': '好棒的人'}
{'danmu_send_time': '2020-02-15 19:03:57', 'text': '感动'}
{'danmu_send_time': '2020-02-15 19:02:14', 'text': '好人有好报'}
{'danmu_send_time': '2020-02-15 19:01:48', 'text': '喜欢阿福'}
{'danmu_send_time': '2020-02-15 19:01:43', 'text': '阿福大好人'}
{'danmu_send_time': '2020-02-15 19:01:36', 'text': '阿福很善良'}
{'danmu_send_time': '2020-02-15 19:01:24', 'text': '阿福是好人'}
{'danmu_send_time': '2020-02-15 18:52:02', 'text': '感谢'}
{'danmu_send_time': '2020-02-15 16:35:23', 'text': '感谢'}
{'danmu_send_time': '2020-02-15 12:11:56', 'text': '谢谢您'}
{'danmu_send_time': '2020-02-15 11:23:35', 'text': '小脸通红'}
{'danmu_send_time': '2020-02-15 05:09:29', 'text': '感谢'}
